2022-06-13 17:08:44,368 | INFO     | ########################-Monitoring Begins-######################## 
2022-06-13 17:08:44,369 | INFO     | Scaling interval  = 30 and CPU HalfLife = 60 UP is 1.75 down is 0.75
2022-06-13 17:08:44,371 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:44,907 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:45,546 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:46,100 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:46,704 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:47,260 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:47,816 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:48,385 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:48,957 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:49,535 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:50,100 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:50,648 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:51,217 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:51,763 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:52,335 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:52,891 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:53,450 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:54,000 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:54,550 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:55,123 | WARNING  | ----------- While Loop ----------- 
2022-06-13 17:08:55,696 | WARNING  | ----------- While Loop ----------- 
